"filename", "language", "C++", "CMake", "JSON", "HTML", "YAML", "Dart", "Ruby", "Markdown", "Swift", "XML", "Properties", "comment", "blank", "total"
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/add_items_screen.dart", "Dart", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 13, 186
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/aisle_results_screen.dart", "Dart", 0, 0, 0, 0, 0, 232, 0, 0, 0, 0, 0, 0, 18, 250
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/aisle_screen.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/cart_screen.dart", "Dart", 0, 0, 0, 0, 0, 191, 0, 0, 0, 0, 0, 0, 13, 204
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/home_screen.dart", "Dart", 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 12, 192
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/item_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 12, 213
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/login_screen.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 1, 20, 96
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/screens/register_screen.dart", "Dart", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 7, 25, 160
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/services/firestore_service.dart", "Dart", 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 74, 59, 376
"/Users/jason/grocery-list-mobile-app/grocery_app/lib/services/populate_catalog.dart", "Dart", 0, 0, 0, 0, 0, 345, 0, 0, 0, 0, 0, 2, 28, 375
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/flutter/CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/flutter/generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/jason/grocery-list-mobile-app/grocery_app/linux/flutter/generated_plugins.cmake", "CMake", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
